cytokine,treatment,donor_1,donor_2,donor_3,histo_5,histo_4
vegf,D-17 ,1423.66,1789.47,803.33,Osteosarcoma,Sarcoma
vegf,1771 ,1871.53,908.04,454.29,Hematopoietic,Hematopoietic
vegf,17CM98 ,1557.44,1635.61,752.3,Melanoma,Melanoma
vegf,Abrams ,1614.7,1567.06,1187.27,Osteosarcoma,Sarcoma
vegf,Bliley ,1354.56,1778.47,906.41,Carcinoma,Carcinoma
vegf,CLL1390 ,1708.92,908.04,814.72,Hematopoietic,Hematopoietic
vegf,CML-10C2 ,1819.36,1092.97,886.27,Melanoma,Melanoma
vegf,CML-6M ,4745.41,2874.52,1237.84,Melanoma,Melanoma
vegf,CMT12,3977.72,1955,1451.5,Carcinoma,Carcinoma
vegf,CMT27,3977.72,1665.8,1228.9,Carcinoma,Carcinoma
vegf,CTAC ,5869.71,2480.3,981.65,Carcinoma,Carcinoma
vegf,DEN ,5458.07,2224.58,1178.38,Sarcoma,Sarcoma
vegf,DH82 ,4097,2862.97,1780.46,Hematopoietic,Hematopoietic
vegf,Gracie ,2855.95,1786.72,1445.43,Osteosarcoma,Sarcoma
vegf,HMPOS ,4450.96,2177.13,1258.73,Osteosarcoma,Sarcoma
vegf,Jones ,9738.6,3869.6,2091.61,Melanoma,Melanoma
vegf,MacKinley,7279.26,2409.74,1415.12,Osteosarcoma,Sarcoma
vegf,Nike ,5388.59,4554.69,1855.31,Hematopoietic,Hematopoietic
vegf,Moresco ,10100.05,1465.71,1533.75,Osteosarcoma,Sarcoma
vegf,OS2.4 ,7657.56,3322.4,1372.81,Osteosarcoma,Sarcoma
vegf,OSA8 ,5557.73,3310.53,1690.52,Osteosarcoma,Sarcoma
vegf,Parks ,5677.96,2485.95,1555.16,Melanoma,Melanoma
vegf,STSA-1 ,5113.07,2874.52,1939.97,Sarcoma,Sarcoma
vegf,Vogel ,3895.69,2891.86,1315.63,Osteosarcoma,Sarcoma
vegf,Yamane,4375.8,2437.93,1181.34,Osteosarcoma,Sarcoma
il.8,D-17 ,29710,39006,37741,Osteosarcoma,Sarcoma
il.8,1771 ,30102,18690,11100,Hematopoietic,Hematopoietic
il.8,17CM98 ,29300,27694,42928,Melanoma,Melanoma
il.8,Abrams ,28493,66920,42069,Osteosarcoma,Sarcoma
il.8,Bliley ,27806,28037,39903,Carcinoma,Carcinoma
il.8,CLL1390 ,27770,25968,23964,Hematopoietic,Hematopoietic
il.8,CML-10C2 ,26454,29376,34269,Melanoma,Melanoma
il.8,CML-6M ,28536,29659,52069,Melanoma,Melanoma
il.8,CMT12,26583,32098,49773,Carcinoma,Carcinoma
il.8,CMT27,26831,16357,44233,Carcinoma,Carcinoma
il.8,CTAC ,22542,41370,22747,Carcinoma,Carcinoma
il.8,DEN ,25165,39057,27608,Sarcoma,Sarcoma
il.8,DH82 ,19961,36107,28539,Hematopoietic,Hematopoietic
il.8,Gracie ,22066,20459,47178,Osteosarcoma,Sarcoma
il.8,HMPOS ,24541,32191,22283,Osteosarcoma,Sarcoma
il.8,Jones ,22658,35295,28578,Melanoma,Melanoma
il.8,MacKinley,26430,35049,22745,Osteosarcoma,Sarcoma
il.8,Nike ,26856,43803,35200,Hematopoietic,Hematopoietic
il.8,Moresco ,25911,11580,35934,Osteosarcoma,Sarcoma
il.8,OS2.4 ,18017,26448,18981,Osteosarcoma,Sarcoma
il.8,OSA8 ,12579,32028,20985,Osteosarcoma,Sarcoma
il.8,Parks ,22183,37051,44175,Melanoma,Melanoma
il.8,STSA-1 ,14106,17530,39237,Sarcoma,Sarcoma
il.8,Vogel ,7787,30828,20597,Osteosarcoma,Sarcoma
il.8,Yamane,9303,36105,20333,Osteosarcoma,Sarcoma
kc.like,D-17 ,1263,1360,1043,Osteosarcoma,Sarcoma
kc.like,1771 ,1351,1118,701.25,Hematopoietic,Hematopoietic
kc.like,17CM98 ,1085,1387,1003,Melanoma,Melanoma
kc.like,Abrams ,1122,1688,1112,Osteosarcoma,Sarcoma
kc.like,Bliley ,1237,694.98,1008,Carcinoma,Carcinoma
kc.like,CLL1390 ,1323,687.2,867.68,Hematopoietic,Hematopoietic
kc.like,CML-10C2 ,1067,895.15,959.04,Melanoma,Melanoma
kc.like,CML-6M ,1136,849.12,1122,Melanoma,Melanoma
kc.like,CMT12,1130,932.96,1080,Carcinoma,Carcinoma
kc.like,CMT27,1281,625.11,1074,Carcinoma,Carcinoma
kc.like,CTAC ,1032,1055,789.51,Carcinoma,Carcinoma
kc.like,DEN ,1090,931.84,998.76,Sarcoma,Sarcoma
kc.like,DH82 ,1069,988.43,1046,Hematopoietic,Hematopoietic
kc.like,Gracie ,1118,1049,1048,Osteosarcoma,Sarcoma
kc.like,HMPOS ,1086,971.81,832.62,Osteosarcoma,Sarcoma
kc.like,Jones ,1093,992.04,937.2,Melanoma,Melanoma
kc.like,MacKinley,1091,976.53,807.64,Osteosarcoma,Sarcoma
kc.like,Nike ,1196,990.43,959.6,Hematopoietic,Hematopoietic
kc.like,Moresco ,1055,572.44,923.14,Osteosarcoma,Sarcoma
kc.like,OS2.4 ,985.3,966.46,956.25,Osteosarcoma,Sarcoma
kc.like,OSA8 ,1105,895.9,1039,Osteosarcoma,Sarcoma
kc.like,Parks ,1172,975.02,1061,Melanoma,Melanoma
kc.like,STSA-1 ,731.93,741.16,1011,Sarcoma,Sarcoma
kc.like,Vogel ,600.59,991.02,973.6,Osteosarcoma,Sarcoma
kc.like,Yamane,821.43,997.71,900.4,Osteosarcoma,Sarcoma
il.10,D-17 ,212.62,60.39,101.64,Osteosarcoma,Sarcoma
il.10,1771 ,300.89,82.12,41.67,Hematopoietic,Hematopoietic
il.10,17CM98 ,435.5,1088,118.39,Melanoma,Melanoma
il.10,Abrams ,462.4,1430,192.21,Osteosarcoma,Sarcoma
il.10,Bliley ,389.33,52.71,107.49,Carcinoma,Carcinoma
il.10,CLL1390 ,156.9,72.79,72.88,Hematopoietic,Hematopoietic
il.10,CML-10C2 ,188.96,2055,73.58,Melanoma,Melanoma
il.10,CML-6M ,338.5,6196,135.42,Melanoma,Melanoma
il.10,CMT12,726.43,1929,246.59,Carcinoma,Carcinoma
il.10,CMT27,612.85,763.4,218.75,Carcinoma,Carcinoma
il.10,CTAC ,145.26,223.5,62.52,Carcinoma,Carcinoma
il.10,DEN ,223.41,459.74,81.17,Sarcoma,Sarcoma
il.10,DH82 ,243.91,1734,165.94,Hematopoietic,Hematopoietic
il.10,Gracie ,162.41,1109,154.87,Osteosarcoma,Sarcoma
il.10,HMPOS ,356.62,95.71,56.04,Osteosarcoma,Sarcoma
il.10,Jones ,97.38,218.22,62.82,Melanoma,Melanoma
il.10,MacKinley,227.27,117.6,52.52,Osteosarcoma,Sarcoma
il.10,Nike ,423.94,19763,185.72,Hematopoietic,Hematopoietic
il.10,Moresco ,235.4,31.94,79.4,Osteosarcoma,Sarcoma
il.10,OS2.4 ,146.43,182.32,48.56,Osteosarcoma,Sarcoma
il.10,OSA8 ,265.01,19763,116.52,Osteosarcoma,Sarcoma
il.10,Parks ,192.5,438.2,82.91,Melanoma,Melanoma
il.10,STSA-1 ,118.01,765.74,134.09,Sarcoma,Sarcoma
il.10,Vogel ,62.32,487.12,78.72,Osteosarcoma,Sarcoma
il.10,Yamane,95.54,707.12,70.45,Osteosarcoma,Sarcoma
ccl2,D-17 ,45881.04104,186225.3851,107726.2499,Osteosarcoma,Sarcoma
ccl2,1771 ,37332.58036,198003.1922,87442.80696,Hematopoietic,Hematopoietic
ccl2,17CM98 ,46887.8963,167621.6125,132615.3235,Melanoma,Melanoma
ccl2,Abrams ,51234.80715,190526.6909,188167.3577,Osteosarcoma,Sarcoma
ccl2,Bliley ,53379.59555,210028.1592,191550.6797,Carcinoma,Carcinoma
ccl2,CLL1390 ,49367.7316,209701.5681,132382.1173,Hematopoietic,Hematopoietic
ccl2,CML-10C2 ,58635.60274,154595.8769,179047.6465,Melanoma,Melanoma
ccl2,CML-6M ,74494.73543,178226.2406,115189.6493,Melanoma,Melanoma
ccl2,CMT12,72786.79599,158709.013,148739.5754,Carcinoma,Carcinoma
ccl2,CMT27,68189.51805,198523.4921,171100.2659,Carcinoma,Carcinoma
ccl2,CTAC ,64608.16594,290098.4072,83171.03735,Carcinoma,Carcinoma
ccl2,DEN ,83063.26618,247745.9203,120677.1586,Sarcoma,Sarcoma
ccl2,DH82 ,47593.70439,230399.8459,176164.8105,Hematopoietic,Hematopoietic
ccl2,Gracie ,23745.29162,198315.244,175672.0441,Osteosarcoma,Sarcoma
ccl2,HMPOS ,55295.54006,418092.0308,111175.0971,Osteosarcoma,Sarcoma
ccl2,Jones ,71602.31059,252796.0712,101431.9138,Melanoma,Melanoma
ccl2,MacKinley,35492.58647,251018.3204,78195.05284,Osteosarcoma,Sarcoma
ccl2,Nike ,53862.68374,144175.2045,112824.1871,Hematopoietic,Hematopoietic
ccl2,Moresco ,84484.53993,197483.9584,121330.6707,Osteosarcoma,Sarcoma
ccl2,OS2.4 ,62579.96289,332209.2411,120822.1607,Osteosarcoma,Sarcoma
ccl2,OSA8 ,51766.56915,145503.3491,169568.3416,Osteosarcoma,Sarcoma
ccl2,Parks ,43223.18886,327466.399,155072.0619,Melanoma,Melanoma
ccl2,STSA-1 ,26373.50912,312548.6225,174201.1963,Sarcoma,Sarcoma
ccl2,Vogel ,16356.4882,333033.8737,64594.36109,Osteosarcoma,Sarcoma
ccl2,Yamane,20631.31847,261722.0029,102398.8429,Osteosarcoma,Sarcoma
tnf.a,D-17 ,17.9,5.83,11.51,Osteosarcoma,Sarcoma
tnf.a,1771 ,40.91,6.23,6.87,Hematopoietic,Hematopoietic
tnf.a,17CM98 ,29.4,156.67,15.69,Melanoma,Melanoma
tnf.a,Abrams ,25.83,265.46,42.03,Osteosarcoma,Sarcoma
tnf.a,Bliley ,32.11,6.64,16,Carcinoma,Carcinoma
tnf.a,CLL1390 ,9.88,6.64,6.87,Hematopoietic,Hematopoietic
tnf.a,CML-10C2 ,9.33,243.63,6.87,Melanoma,Melanoma
tnf.a,CML-6M ,26.67,320.49,41.84,Melanoma,Melanoma
tnf.a,CMT12,66.52,199.87,97.75,Carcinoma,Carcinoma
tnf.a,CMT27,44.93,76.6,72.52,Carcinoma,Carcinoma
tnf.a,CTAC ,7.34,30.05,6.87,Carcinoma,Carcinoma
tnf.a,DEN ,70.05,77.53,6.87,Sarcoma,Sarcoma
tnf.a,DH82 ,38.27,245.33,80.04,Hematopoietic,Hematopoietic
tnf.a,Gracie ,15.72,236.14,22.48,Osteosarcoma,Sarcoma
tnf.a,HMPOS ,58.52,23.25,6.87,Osteosarcoma,Sarcoma
tnf.a,Jones ,9.99,39.37,6.87,Melanoma,Melanoma
tnf.a,MacKinley,41.92,12.59,6.87,Osteosarcoma,Sarcoma
tnf.a,Nike ,43.83,998.88,57.52,Hematopoietic,Hematopoietic
tnf.a,Moresco ,25.62,6.64,9.08,Osteosarcoma,Sarcoma
tnf.a,OS2.4 ,6.02,42.06,6.87,Osteosarcoma,Sarcoma
tnf.a,OSA8 ,36.44,1372,20.26,Osteosarcoma,Sarcoma
tnf.a,Parks ,16.37,70.03,8.67,Melanoma,Melanoma
tnf.a,STSA-1 ,16.15,97.61,59.26,Sarcoma,Sarcoma
tnf.a,Vogel ,5.64,76.79,6.87,Osteosarcoma,Sarcoma
tnf.a,Yamane,9.77,97.97,6.87,Osteosarcoma,Sarcoma
tgf.b,D-17 ,24.8542549,148.4379467,146.8396554,Osteosarcoma,Sarcoma
tgf.b,1771 ,13.65676849,128.5391283,75.55270709,Hematopoietic,Hematopoietic
tgf.b,17CM98 ,16.9184234,102.1136617,66.66234599,Melanoma,Melanoma
tgf.b,Abrams ,7.52603191,112.2263128,40.79053841,Osteosarcoma,Sarcoma
tgf.b,Bliley ,38.66196821,131.5579681,55.00195749,Carcinoma,Carcinoma
tgf.b,CLL1390 ,15.06961824,134.5925544,146.8396554,Hematopoietic,Hematopoietic
tgf.b,CML-10C2 ,13.65676849,103.5450273,102.8544912,Melanoma,Melanoma
tgf.b,CML-6M ,22.44289144,175.3933065,255.7477595,Melanoma,Melanoma
tgf.b,CMT12,38.42365447,190.0629966,430.2663244,Carcinoma,Carcinoma
tgf.b,CMT27,19.43596599,127.035676,303.6335183,Carcinoma,Carcinoma
tgf.b,CTAC ,18.37998827,130.0465674,232.1431638,Carcinoma,Carcinoma
tgf.b,DEN ,17.9603644,148.4379467,166.1522128,Sarcoma,Sarcoma
tgf.b,DH82 ,25.74118149,134.5925544,153.2492602,Hematopoietic,Hematopoietic
tgf.b,Gracie ,16.09239613,172.1699437,269.3407703,Osteosarcoma,Sarcoma
tgf.b,HMPOS ,20.71580571,137.6426918,252.3611488,Osteosarcoma,Sarcoma
tgf.b,Jones ,33.47991745,188.4199498,387.5513238,Melanoma,Melanoma
tgf.b,MacKinley,32.32054939,220.1740754,597.9038468,Osteosarcoma,Sarcoma
tgf.b,Nike ,24.8542549,185.143572,32.49806544,Hematopoietic,Hematopoietic
tgf.b,Moresco ,20.07418908,145.3348394,218.7653814,Osteosarcoma,Sarcoma
tgf.b,OS2.4 ,13.0583674,186.7801364,195.5618753,Osteosarcoma,Sarcoma
tgf.b,OSA8 ,28.65901024,162.5819557,208.7877315,Osteosarcoma,Sarcoma
tgf.b,Parks ,16.5045586,145.3348394,296.7408607,Melanoma,Melanoma
tgf.b,STSA-1 ,18.16997589,90.82857321,162.9162867,Sarcoma,Sarcoma
tgf.b,Vogel ,19.22399073,102.1136617,320.9364283,Osteosarcoma,Sarcoma
tgf.b,Yamane,83.47010123,67.90174241,259.1390751,Osteosarcoma,Sarcoma
